Channel name,markers
Comp-APC-A,IL-21
Comp-APC-Fire 810-A,cd25
Comp-Alexa Fluor 532-A,CD127
Comp-Alexa Fluor 594-A,CD57
Comp-Alexa Fluor 647-A,CXCR3
Comp-BB515-A,CXCR5
Comp-BUV496-A,ICOS
Comp-BV570-A,CD45RO
Comp-BV650-A,CCR7
Comp-BV711-A,CD95
Comp-BV750-A,CD28
Comp-BV785-A,TIGIT
Comp-PE-Fire 640-A,PD-1
Comp-PE-Fire 700-A,CD31
Comp-PE-A,IL-2
Comp-RB780-A,IL-17A
Comp-Spark NIR 685-A,IFN-G
Comp-Spark UV 387-A,TNF-ALPHA
